id_compra,data,estado,cidade,vendedor,produto,sku,cor,quantidade,valor_total,lucro_total,forma_pagamento,cliente_nome,cpf,idade,comportamento
1524,2026-02-26 18:46:04.174413,SP,São Paulo,Amanda,Tenis Zallur Ultra A13,A12-AZU,Azul,1,400,176,Pix,Lucas Oliveira,397.105.428-14,40,conservador
151,2026-02-26 19:46:04.155423,PR,Curitiba,Bruno,Tenis Zallur Casual A1,A0-VER,Vermelho,1,150,75,Cartão de Crédito,Fernanda Santos,513.827.297-27,52,conservador
1137,2026-02-26 19:46:04.169418,PR,Curitiba,Bruno,Tenis Zallur Pro A10,A9-VER,Vermelho,1,280,99,Pix,Mariana Oliveira,338.784.961-92,64,conservador
1623,2026-02-26 19:46:04.176421,MG,Belo Horizonte,João,Tenis Zallur Zoom A15,A14-CIN,Cinza,1,230,77,Pix,Julia Pereira,419.682.250-87,59,conservador
1803,2026-02-26 19:46:04.179412,RS,Porto Alegre,Lucas,Tenis Zallur Esportivo A2,A1-BRA,Branco,1,200,66,Boleto,Pedro Oliveira,688.445.479-35,47,conservador
1915,2026-02-26 19:46:04.180413,BA,Salvador,Camila,Tenis Zallur Pro A10,A9-PRE,Preto,2,560,214,Cartão de Crédito,Fernanda Costa,957.221.994-67,35,equilibrado
2885,2026-02-26 19:46:04.193428,PE,Recife,Larissa,Tenis Zallur Pro A10,A9-PRE,Preto,3,840,321,Pix,Mariana Silva,807.233.632-78,19,impulsivo
560,2026-02-26 20:46:04.162422,BA,Salvador,Rafael,Tenis Zallur Street A4,A3-BRA,Branco,2,360,124,Boleto,Julia Pereira,728.678.685-23,37,equilibrado
1551,2026-02-26 20:46:04.175408,PR,Curitiba,Juliana,Tenis Zallur Running A3,A2-PRE,Preto,1,250,80,Boleto,Ana Santos,480.658.775-10,63,conservador
2021,2026-02-26 20:46:04.182411,MG,Belo Horizonte,João,Tenis Zallur Air A14,A13-AZU,Azul,1,270,135,Cartão de Crédito,Fernanda Santos,323.190.415-53,45,conservador
2168,2026-02-26 20:46:04.183417,SP,São Paulo,Thales,Tenis Zallur Flex A9,A8-AZU,Azul,1,210,80,Pix,Mariana Silva,899.881.454-88,57,conservador
2634,2026-02-26 20:46:04.189408,BA,Salvador,Rafael,Tenis Zallur Street A4,A3-CIN,Cinza,1,180,70,Cartão de Crédito,João Costa,477.592.187-13,55,conservador
534,2026-02-26 21:46:04.162422,RJ,Rio de Janeiro,Fernanda,Tenis Zallur Classic A5,A4-PRE,Preto,3,660,213,Boleto,Lucas Souza,509.733.213-46,19,impulsivo
1340,2026-02-26 21:46:04.171411,SP,São Paulo,Thales,Tenis Zallur Esportivo A2,A1-AZU,Azul,1,200,77,Boleto,Mariana Oliveira,580.540.396-65,45,conservador
2475,2026-02-26 21:46:04.187423,PE,Recife,Larissa,Tenis Zallur Elite A11,A10-BRA,Branco,1,350,143,Pix,Pedro Oliveira,416.521.929-52,22,impulsivo
2945,2026-02-26 21:46:04.194423,PE,Recife,Larissa,Tenis Zallur Zoom A15,A14-VER,Vermelho,1,230,110,Cartão de Crédito,João Pereira,902.559.266-36,42,conservador
1857,2026-02-26 22:46:04.179412,BA,Salvador,Rafael,Tenis Zallur Street A4,A3-BRA,Branco,1,180,62,Pix,João Silva,467.220.233-79,38,equilibrado
1998,2026-02-26 22:46:04.181412,MG,Belo Horizonte,Mariana,Tenis Zallur Max A12,A11-VER,Vermelho,2,640,228,Boleto,João Oliveira,921.207.468-41,26,equilibrado
2243,2026-02-26 22:46:04.184422,BA,Salvador,Rafael,Tenis Zallur Esportivo A2,A1-CIN,Cinza,1,200,89,Cartão de Crédito,Ana Santos,228.948.506-98,35,equilibrado
2393,2026-02-26 22:46:04.186423,RJ,Rio de Janeiro,Fernanda,Tenis Zallur Performance A7,A6-VER,Vermelho,1,300,95,Cartão de Crédito,Julia Pereira,983.267.468-39,40,conservador
694,2026-02-26 23:46:04.164424,RS,Porto Alegre,Lucas,Tenis Zallur Street A4,A3-BRA,Branco,1,180,62,Boleto,Fernanda Pereira,841.793.970-41,40,conservador
766,2026-02-26 23:46:04.165422,PE,Recife,Diego,Tenis Zallur Elite A11,A10-CIN,Cinza,1,350,159,Cartão de Crédito,Ana Silva,497.770.292-94,49,conservador
1234,2026-02-26 23:46:04.170425,RJ,Rio de Janeiro,Carlos,Tenis Zallur Air A14,A13-VER,Vermelho,2,540,242,Pix,João Silva,440.770.826-90,23,impulsivo
2497,2026-02-26 23:46:04.187423,PR,Curitiba,Juliana,Tenis Zallur Esportivo A2,A1-PRE,Preto,1,200,90,Cartão de Crédito,Pedro Pereira,320.223.125-66,44,conservador
879,2026-02-27 00:46:04.166420,PR,Curitiba,Bruno,Tenis Zallur Elite A11,A10-CIN,Cinza,1,350,159,Boleto,Fernanda Pereira,302.643.745-85,24,impulsivo
1934,2026-02-27 00:46:04.180413,PE,Recife,Larissa,Tenis Zallur Comfort A6,A5-AZU,Azul,1,170,78,Pix,João Souza,976.648.193-20,55,conservador
2226,2026-02-27 00:46:04.184422,PE,Recife,Larissa,Tenis Zallur Classic A5,A4-VER,Vermelho,1,220,89,Boleto,Lucas Silva,219.907.591-56,42,conservador
2044,2026-02-27 01:46:04.182411,BA,Salvador,Rafael,Tenis Zallur Lifestyle A8,A7-CIN,Cinza,1,190,91,Cartão de Crédito,Pedro Silva,523.570.518-93,42,conservador
758,2026-02-27 02:46:04.165422,PE,Recife,Larissa,Tenis Zallur Casual A1,A0-PRE,Preto,1,150,66,Cartão de Crédito,Mariana Costa,667.118.113-81,58,conservador
1616,2026-02-27 02:46:04.176421,RJ,Rio de Janeiro,Fernanda,Tenis Zallur Esportivo A2,A1-PRE,Preto,1,200,90,Cartão de Crédito,Carlos Oliveira,575.154.694-60,50,conservador
2565,2026-02-27 02:46:04.188423,MG,Belo Horizonte,João,Tenis Zallur Max A12,A11-AZU,Azul,1,320,135,Pix,Ana Oliveira,805.230.446-95,26,equilibrado
54,2026-02-27 03:46:04.154422,PE,Recife,Diego,Tenis Zallur Running A3,A2-AZU,Azul,1,250,116,Cartão de Crédito,Pedro Santos,357.966.206-23,49,conservador
2357,2026-02-27 03:46:04.186423,PE,Recife,Larissa,Tenis Zallur Esportivo A2,A1-BRA,Branco,1,200,66,Pix,Julia Costa,599.669.456-38,40,conservador
1051,2026-02-27 04:46:04.168419,PR,Curitiba,Juliana,Tenis Zallur Pro A10,A9-CIN,Cinza,3,840,321,Boleto,Ana Pereira,728.612.290-99,23,impulsivo
1462,2026-02-27 04:46:04.172408,RJ,Rio de Janeiro,Fernanda,Tenis Zallur Classic A5,A4-AZU,Azul,1,220,104,Pix,Fernanda Silva,267.449.511-91,49,conservador
1793,2026-02-27 04:46:04.179412,MG,Belo Horizonte,João,Tenis Zallur Air A14,A13-PRE,Preto,1,270,86,Cartão de Crédito,Ana Silva,706.278.426-43,18,impulsivo
2130,2026-02-27 04:46:04.183417,SP,São Paulo,Amanda,Tenis Zallur Esportivo A2,A1-PRE,Preto,2,400,180,Cartão de Crédito,João Silva,706.273.201-51,38,equilibrado
2860,2026-02-27 04:46:04.193428,BA,Salvador,Camila,Tenis Zallur Classic A5,A4-PRE,Preto,1,220,71,Cartão de Crédito,Carlos Silva,850.769.837-52,65,conservador
892,2026-02-27 05:46:04.166420,BA,Salvador,Camila,Tenis Zallur Max A12,A11-PRE,Preto,1,320,117,Pix,Mariana Oliveira,181.966.251-50,52,conservador
1291,2026-02-27 05:46:04.170425,PE,Recife,Diego,Tenis Zallur Max A12,A11-CIN,Cinza,1,320,106,Pix,Pedro Pereira,424.685.976-95,44,conservador
1449,2026-02-27 05:46:04.172408,RS,Porto Alegre,Patrícia,Tenis Zallur Flex A9,A8-BRA,Branco,1,210,103,Pix,Carlos Costa,374.211.559-74,65,conservador
1482,2026-02-27 05:46:04.173425,RJ,Rio de Janeiro,Carlos,Tenis Zallur Air A14,A13-AZU,Azul,1,270,135,Boleto,Lucas Silva,741.771.466-28,58,conservador
2495,2026-02-27 05:46:04.187423,SP,São Paulo,Amanda,Tenis Zallur Casual A1,A0-CIN,Cinza,1,150,64,Boleto,Fernanda Pereira,806.878.270-88,21,impulsivo
128,2026-02-27 06:46:04.154422,RJ,Rio de Janeiro,Carlos,Tenis Zallur Lifestyle A8,A7-AZU,Azul,1,190,80,Pix,Julia Santos,966.258.136-37,55,conservador
188,2026-02-27 06:46:04.155423,RS,Porto Alegre,Lucas,Tenis Zallur Performance A7,A6-AZU,Azul,1,300,122,Cartão de Crédito,Carlos Costa,350.238.340-17,37,equilibrado
1090,2026-02-27 06:46:04.168419,MG,Belo Horizonte,Mariana,Tenis Zallur Air A14,A13-AZU,Azul,1,270,135,Cartão de Crédito,Julia Silva,410.880.338-28,41,conservador
2023,2026-02-27 06:46:04.182411,SP,São Paulo,Amanda,Tenis Zallur Lifestyle A8,A7-BRA,Branco,1,190,60,Pix,Ana Santos,933.318.368-91,47,conservador
2432,2026-02-27 06:46:04.187423,SP,São Paulo,Thales,Tenis Zallur Comfort A6,A5-AZU,Azul,1,170,78,Pix,Carlos Pereira,281.408.548-58,42,conservador
512,2026-02-27 07:46:04.161419,SP,São Paulo,Amanda,Tenis Zallur Esportivo A2,A1-BRA,Branco,2,400,132,Boleto,Lucas Pereira,508.972.543-87,27,equilibrado
1391,2026-02-27 07:46:04.171411,PR,Curitiba,Juliana,Tenis Zallur Lifestyle A8,A7-PRE,Preto,2,380,124,Boleto,Pedro Silva,127.968.622-76,27,equilibrado
821,2026-02-27 08:46:04.166420,RS,Porto Alegre,Lucas,Tenis Zallur Ultra A13,A12-PRE,Preto,1,400,145,Cartão de Crédito,João Oliveira,749.521.766-97,40,conservador
1056,2026-02-27 08:46:04.168419,PR,Curitiba,Bruno,Tenis Zallur Flex A9,A8-PRE,Preto,1,210,78,Pix,Pedro Santos,967.271.784-56,55,conservador
2095,2026-02-27 08:46:04.182411,BA,Salvador,Camila,Tenis Zallur Esportivo A2,A1-VER,Vermelho,1,200,66,Cartão de Crédito,Ana Santos,560.178.418-43,60,conservador
1276,2026-02-27 09:46:04.170425,RS,Porto Alegre,Lucas,Tenis Zallur Max A12,A11-CIN,Cinza,1,320,106,Pix,Ana Costa,490.374.678-49,62,conservador
1653,2026-02-27 09:46:04.177426,BA,Salvador,Rafael,Tenis Zallur Lifestyle A8,A7-BRA,Branco,1,190,60,Cartão de Crédito,Mariana Santos,374.898.344-94,47,conservador
1741,2026-02-27 09:46:04.178412,PR,Curitiba,Juliana,Tenis Zallur Air A14,A13-PRE,Preto,1,270,86,Boleto,Pedro Pereira,839.568.971-84,49,conservador
2002,2026-02-27 09:46:04.181412,SP,São Paulo,Amanda,Tenis Zallur Performance A7,A6-CIN,Cinza,2,600,198,Cartão de Crédito,Julia Costa,355.112.155-15,30,equilibrado
2153,2026-02-27 09:46:04.183417,RJ,Rio de Janeiro,Carlos,Tenis Zallur Pro A10,A9-PRE,Preto,2,560,214,Cartão de Crédito,Carlos Costa,150.248.817-35,39,equilibrado
2284,2026-02-27 09:46:04.185422,RJ,Rio de Janeiro,Fernanda,Tenis Zallur Max A12,A11-BRA,Branco,3,960,357,Pix,Fernanda Souza,412.248.384-15,19,impulsivo
2480,2026-02-27 09:46:04.187423,MG,Belo Horizonte,Mariana,Tenis Zallur Air A14,A13-BRA,Branco,1,270,97,Boleto,Julia Pereira,722.651.875-21,61,conservador
403,2026-02-27 10:46:04.160422,BA,Salvador,Camila,Tenis Zallur Zoom A15,A14-CIN,Cinza,1,230,77,Boleto,Carlos Costa,709.326.376-49,63,conservador
1066,2026-02-27 10:46:04.168419,BA,Salvador,Camila,Tenis Zallur Street A4,A3-VER,Vermelho,3,540,168,Boleto,Julia Silva,118.973.803-59,22,impulsivo
1744,2026-02-27 10:46:04.178412,SP,São Paulo,Amanda,Tenis Zallur Casual A1,A0-CIN,Cinza,2,300,128,Cartão de Crédito,João Costa,199.717.122-78,25,equilibrado
2385,2026-02-27 10:46:04.186423,RJ,Rio de Janeiro,Fernanda,Tenis Zallur Flex A9,A8-VER,Vermelho,1,210,71,Cartão de Crédito,Julia Oliveira,825.525.227-90,64,conservador
262,2026-02-27 11:46:04.156420,RS,Porto Alegre,Patrícia,Tenis Zallur Esportivo A2,A1-CIN,Cinza,2,400,178,Pix,Mariana Santos,893.695.678-81,36,equilibrado
482,2026-02-27 11:46:04.161419,PR,Curitiba,Bruno,Tenis Zallur Esportivo A2,A1-CIN,Cinza,1,200,89,Cartão de Crédito,Carlos Santos,483.647.638-64,30,equilibrado
1837,2026-02-27 11:46:04.179412,SP,São Paulo,Amanda,Tenis Zallur Street A4,A3-VER,Vermelho,1,180,56,Cartão de Crédito,Fernanda Costa,155.598.961-21,57,conservador
2609,2026-02-27 11:46:04.188423,BA,Salvador,Camila,Tenis Zallur Esportivo A2,A1-PRE,Preto,1,200,90,Boleto,Carlos Santos,525.396.927-86,53,conservador
651,2026-02-27 12:46:04.163421,MG,Belo Horizonte,Mariana,Tenis Zallur Performance A7,A6-CIN,Cinza,1,300,99,Cartão de Crédito,Fernanda Souza,374.937.670-23,46,conservador
851,2026-02-27 12:46:04.166420,RJ,Rio de Janeiro,Fernanda,Tenis Zallur Zoom A15,A14-PRE,Preto,1,230,80,Pix,Julia Silva,864.700.687-91,32,equilibrado
1114,2026-02-27 12:46:04.169418,BA,Salvador,Camila,Tenis Zallur Lifestyle A8,A7-VER,Vermelho,1,190,78,Boleto,Fernanda Silva,200.951.176-66,57,conservador
2142,2026-02-27 12:46:04.183417,PE,Recife,Larissa,Tenis Zallur Esportivo A2,A1-PRE,Preto,1,200,90,Cartão de Crédito,Julia Santos,122.342.494-66,52,conservador
2241,2026-02-27 12:46:04.184422,SP,São Paulo,Thales,Tenis Zallur Max A12,A11-BRA,Branco,1,320,119,Cartão de Crédito,Lucas Oliveira,826.818.807-21,45,conservador
141,2026-02-27 13:46:04.155423,PR,Curitiba,Juliana,Tenis Zallur Flex A9,A8-PRE,Preto,1,210,78,Boleto,Ana Santos,704.315.182-74,23,impulsivo
2776,2026-02-27 13:46:04.192414,MG,Belo Horizonte,Mariana,Tenis Zallur Flex A9,A8-VER,Vermelho,2,420,142,Boleto,Lucas Pereira,190.251.552-70,20,impulsivo
190,2026-02-27 14:46:04.155423,PE,Recife,Diego,Tenis Zallur Lifestyle A8,A7-AZU,Azul,1,190,80,Pix,Julia Costa,300.799.796-46,50,conservador
1146,2026-02-27 14:46:04.169418,RS,Porto Alegre,Patrícia,Tenis Zallur Flex A9,A8-CIN,Cinza,1,210,69,Boleto,Pedro Costa,179.177.498-81,56,conservador
1960,2026-02-27 14:46:04.181412,SP,São Paulo,Thales,Tenis Zallur Lifestyle A8,A7-BRA,Branco,1,190,60,Pix,Fernanda Souza,822.332.733-63,44,conservador
140,2026-02-27 15:46:04.155423,BA,Salvador,Rafael,Tenis Zallur Flex A9,A8-AZU,Azul,1,210,80,Cartão de Crédito,João Santos,959.908.819-17,47,conservador
1047,2026-02-27 15:46:04.168419,RS,Porto Alegre,Lucas,Tenis Zallur Lifestyle A8,A7-BRA,Branco,1,190,60,Cartão de Crédito,Mariana Santos,346.686.268-89,57,conservador
1460,2026-02-27 15:46:04.172408,RS,Porto Alegre,Patrícia,Tenis Zallur Ultra A13,A12-VER,Vermelho,1,400,176,Boleto,Julia Pereira,258.977.824-59,33,equilibrado
1501,2026-02-27 15:46:04.174413,SP,São Paulo,Thales,Tenis Zallur Performance A7,A6-CIN,Cinza,2,600,198,Pix,Fernanda Silva,956.891.427-17,30,equilibrado
2022,2026-02-27 15:46:04.182411,PR,Curitiba,Juliana,Tenis Zallur Comfort A6,A5-VER,Vermelho,1,170,62,Boleto,Carlos Silva,733.472.762-65,61,conservador
2815,2026-02-27 15:46:04.192414,RJ,Rio de Janeiro,Carlos,Tenis Zallur Esportivo A2,A1-CIN,Cinza,1,200,89,Cartão de Crédito,Ana Souza,346.754.930-45,37,equilibrado
450,2026-02-27 16:46:04.161419,PR,Curitiba,Bruno,Tenis Zallur Street A4,A3-VER,Vermelho,1,180,56,Pix,Ana Santos,386.818.506-58,50,conservador
1782,2026-02-27 16:46:04.178412,PR,Curitiba,Bruno,Tenis Zallur Esportivo A2,A1-AZU,Azul,1,200,77,Boleto,Pedro Santos,592.323.279-87,62,conservador
2353,2026-02-27 16:46:04.186423,RS,Porto Alegre,Lucas,Tenis Zallur Street A4,A3-BRA,Branco,1,180,62,Pix,Fernanda Souza,321.763.589-54,58,conservador
2963,2026-02-27 16:46:04.194423,RJ,Rio de Janeiro,Carlos,Tenis Zallur Classic A5,A4-PRE,Preto,1,220,71,Cartão de Crédito,Mariana Santos,454.195.460-30,45,conservador
1274,2026-02-27 17:46:04.170425,MG,Belo Horizonte,João,Tenis Zallur Air A14,A13-AZU,Azul,1,270,135,Boleto,Carlos Pereira,271.614.253-13,36,equilibrado
174,2026-02-27 18:46:04.155423,RS,Porto Alegre,Patrícia,Tenis Zallur Running A3,A2-CIN,Cinza,1,250,83,Cartão de Crédito,João Oliveira,348.859.728-80,62,conservador
253,2026-02-27 18:46:04.156420,RS,Porto Alegre,Lucas,Tenis Zallur Pro A10,A9-BRA,Branco,1,280,100,Pix,Julia Pereira,903.336.738-13,32,equilibrado
424,2026-02-27 18:46:04.160422,PR,Curitiba,Juliana,Tenis Zallur Classic A5,A4-PRE,Preto,1,220,71,Boleto,Mariana Pereira,923.709.998-33,45,conservador
1374,2026-02-27 18:46:04.171411,RJ,Rio de Janeiro,Fernanda,Tenis Zallur Classic A5,A4-CIN,Cinza,1,220,93,Boleto,Carlos Oliveira,468.728.745-17,52,conservador
2299,2026-02-27 18:46:04.185422,PR,Curitiba,Juliana,Tenis Zallur Street A4,A3-BRA,Branco,1,180,62,Cartão de Crédito,Pedro Silva,333.190.400-12,31,equilibrado
2695,2026-02-27 18:46:04.190408,BA,Salvador,Rafael,Tenis Zallur Ultra A13,A12-PRE,Preto,3,1200,435,Boleto,João Silva,957.764.369-31,20,impulsivo
1275,2026-02-27 19:46:04.170425,PE,Recife,Larissa,Tenis Zallur Lifestyle A8,A7-VER,Vermelho,1,190,78,Boleto,Ana Silva,990.962.778-48,47,conservador
1343,2026-02-27 19:46:04.171411,RJ,Rio de Janeiro,Fernanda,Tenis Zallur Elite A11,A10-CIN,Cinza,1,350,159,Pix,João Silva,951.175.397-30,64,conservador
1651,2026-02-27 19:46:04.177426,MG,Belo Horizonte,Mariana,Tenis Zallur Max A12,A11-CIN,Cinza,1,320,106,Pix,Pedro Silva,471.515.442-25,34,equilibrado
127,2026-02-27 20:46:04.154422,RJ,Rio de Janeiro,Carlos,Tenis Zallur Air A14,A13-BRA,Branco,2,540,194,Boleto,Ana Oliveira,770.838.412-10,22,impulsivo
444,2026-02-27 20:46:04.160422,BA,Salvador,Camila,Tenis Zallur Flex A9,A8-PRE,Preto,2,420,156,Cartão de Crédito,Julia Souza,518.373.811-13,23,impulsivo
971,2026-02-27 20:46:04.167423,BA,Salvador,Camila,Tenis Zallur Max A12,A11-AZU,Azul,1,320,135,Boleto,Carlos Costa,368.396.548-85,26,equilibrado
1177,2026-02-27 20:46:04.169418,RS,Porto Alegre,Patrícia,Tenis Zallur Running A3,A2-AZU,Azul,3,750,348,Cartão de Crédito,Julia Silva,677.394.452-25,20,impulsivo
1200,2026-02-27 20:46:04.170425,BA,Salvador,Rafael,Tenis Zallur Comfort A6,A5-PRE,Preto,1,170,78,Pix,João Souza,589.323.798-77,37,equilibrado
1660,2026-02-27 20:46:04.177426,MG,Belo Horizonte,João,Tenis Zallur Flex A9,A8-AZU,Azul,1,210,80,Boleto,Lucas Oliveira,864.712.953-11,62,conservador
2350,2026-02-27 20:46:04.186423,SP,São Paulo,Amanda,Tenis Zallur Street A4,A3-PRE,Preto,1,180,81,Pix,Julia Souza,320.276.491-20,49,conservador
2467,2026-02-27 20:46:04.187423,BA,Salvador,Rafael,Tenis Zallur Street A4,A3-PRE,Preto,1,180,81,Cartão de Crédito,Fernanda Oliveira,789.897.649-71,29,equilibrado
957,2026-02-27 21:46:04.167423,PR,Curitiba,Juliana,Tenis Zallur Air A14,A13-BRA,Branco,1,270,97,Cartão de Crédito,Mariana Costa,741.260.944-73,38,equilibrado
1093,2026-02-27 21:46:04.168419,RS,Porto Alegre,Lucas,Tenis Zallur Lifestyle A8,A7-PRE,Preto,2,380,124,Cartão de Crédito,Julia Pereira,944.755.876-37,26,equilibrado
1947,2026-02-27 21:46:04.181412,BA,Salvador,Camila,Tenis Zallur Zoom A15,A14-PRE,Preto,1,230,80,Boleto,Carlos Oliveira,932.574.462-26,60,conservador
230,2026-02-27 22:46:04.156420,RJ,Rio de Janeiro,Carlos,Tenis Zallur Lifestyle A8,A7-PRE,Preto,1,190,62,Cartão de Crédito,Ana Oliveira,656.586.113-84,47,conservador
1986,2026-02-27 22:46:04.181412,BA,Salvador,Camila,Tenis Zallur Pro A10,A9-CIN,Cinza,1,280,107,Cartão de Crédito,João Oliveira,920.843.219-91,34,equilibrado
181,2026-02-27 23:46:04.155423,SP,São Paulo,Amanda,Tenis Zallur Elite A11,A10-BRA,Branco,1,350,143,Pix,Ana Souza,126.637.125-78,27,equilibrado
1461,2026-02-27 23:46:04.172408,PR,Curitiba,Juliana,Tenis Zallur Air A14,A13-BRA,Branco,1,270,97,Pix,Ana Silva,938.338.251-14,40,conservador
1994,2026-02-27 23:46:04.181412,SP,São Paulo,Amanda,Tenis Zallur Street A4,A3-AZU,Azul,1,180,65,Boleto,Mariana Souza,887.173.861-69,54,conservador
2078,2026-02-27 23:46:04.182411,PE,Recife,Larissa,Tenis Zallur Zoom A15,A14-BRA,Branco,1,230,80,Boleto,Mariana Souza,928.729.951-11,19,impulsivo
46,2026-02-28 00:46:04.153423,PE,Recife,Diego,Tenis Zallur Performance A7,A6-PRE,Preto,1,300,120,Pix,Mariana Pereira,827.827.920-47,22,impulsivo
69,2026-02-28 00:46:04.154422,MG,Belo Horizonte,João,Tenis Zallur Elite A11,A10-BRA,Branco,1,350,143,Cartão de Crédito,Mariana Santos,822.398.794-61,47,conservador
392,2026-02-28 00:46:04.160422,RJ,Rio de Janeiro,Carlos,Tenis Zallur Pro A10,A9-VER,Vermelho,1,280,99,Pix,Ana Santos,868.797.565-84,58,conservador
665,2026-02-28 00:46:04.164424,RJ,Rio de Janeiro,Fernanda,Tenis Zallur Casual A1,A0-CIN,Cinza,1,150,64,Boleto,Mariana Souza,898.143.648-58,63,conservador
1702,2026-02-28 00:46:04.177426,SP,São Paulo,Thales,Tenis Zallur Flex A9,A8-CIN,Cinza,1,210,69,Pix,Julia Silva,315.768.275-14,63,conservador
1995,2026-02-28 00:46:04.181412,SP,São Paulo,Thales,Tenis Zallur Casual A1,A0-AZU,Azul,2,300,140,Pix,Pedro Santos,376.161.533-81,36,equilibrado
